./aligned_img\kaushik\kau.png 231 720 636 1256
./aligned_img\kaushik\n (36).png 528 107 804 481
./aligned_img\kaushik\n (37).png 576 227 908 656
./aligned_img\kaushik\n (38).png 508 391 590 494
./aligned_img\kaushik\n (39).png 334 75 564 389
./aligned_img\kaushik\n (40).png 190 183 401 457
./aligned_img\kaushik\n (41).png 208 447 684 1071
./aligned_img\kaushik\n (42).png 555 297 680 459
./aligned_img\kaushik\n (43).png 601 207 914 642
./aligned_img\kaushik\n (44).png 474 267 694 555
./aligned_img\kaushik\n (45).png 298 637 383 746
./aligned_img\kaushik\n (46).png 121 154 281 351
./aligned_img\kaushik\n (47).png 385 303 830 910
./aligned_img\kaushik\n (49).png 231 215 489 553
./aligned_img\kaushik\n (50).png 431 434 609 677
./aligned_img\kaushik\n (56).png 254 226 330 319
./aligned_img\kaushik\n (73).png 569 103 704 296
./aligned_img\kaushik\n (81).png 297 698 470 930
./aligned_img\kaushik\n (82).png 444 291 555 434
./aligned_img\manish\a (1).png 223 385 360 564
./aligned_img\manish\a (11).png 449 92 597 292
./aligned_img\manish\a (12).png 184 522 364 737
./aligned_img\manish\a (13).png 524 519 680 713
./aligned_img\manish\a (14).png 323 164 485 359
./aligned_img\manish\a (2).png 185 524 364 737
./aligned_img\manish\a (3).png 224 278 354 430
./aligned_img\manish\a (4).png 525 827 582 895
./aligned_img\manish\a (5).png 428 500 552 648
./aligned_img\manish\a (6).png 52 405 465 969
./aligned_img\manish\a (8).png 645 363 786 539
./aligned_img\manish\a (9).png 178 364 479 733
./aligned_img\manish\man.png 222 276 354 427
./aligned_img\manish\man2.png 792 625 834 667
